menu_xmlid,native_action_xmlid,resolved_scene_key,mapping_source,compatibility_used
,smart_construction_core.action_payment_ledger,finance.payment_ledger,action_xmlid_scene_map,true
,smart_construction_core.action_payment_request,finance.payment_requests,action_xmlid_scene_map,true
,smart_construction_core.action_payment_request_my,finance.payment_requests,action_xmlid_scene_map,true
,smart_construction_core.action_project_boq_line,cost.project_boq,action_xmlid_scene_map,true
,smart_construction_core.action_project_budget,cost.project_budget,action_xmlid_scene_map,true
,smart_construction_core.action_project_budget_cost_alloc,cost.budget_alloc,action_xmlid_scene_map,true
,smart_construction_core.action_project_cost_code,config.project_cost_code,action_xmlid_scene_map,true
,smart_construction_core.action_project_cost_compare,cost.cost_compare,action_xmlid_scene_map,true
,smart_construction_core.action_project_cost_ledger,cost.analysis,action_xmlid_scene_map,true
,smart_construction_core.action_project_dashboard,project.dashboard,action_xmlid_scene_map,true
,smart_construction_core.action_project_dictionary,data.dictionary,action_xmlid_scene_map,true
,smart_construction_core.action_project_initiation,projects.intake,action_xmlid_scene_map,true
,smart_construction_core.action_project_initiation_quick,projects.intake,action_xmlid_scene_map,true
,smart_construction_core.action_project_profit_compare,cost.profit_compare,action_xmlid_scene_map,true
,smart_construction_core.action_project_progress_entry,cost.project_progress,action_xmlid_scene_map,true
,smart_construction_core.action_sc_finance_dashboard,finance.center,action_xmlid_scene_map,true
,smart_construction_core.action_sc_operating_drill_overpay_risk_pr,risk.monitor,action_xmlid_scene_map,true
,smart_construction_core.action_sc_operating_metrics_project,finance.operating_metrics,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_kanban_lifecycle,projects.ledger,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_list,projects.list,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_manage,project.management,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_my_list,projects.list,action_xmlid_scene_map,true
,smart_construction_core.action_sc_project_overview,projects.list,action_xmlid_scene_map,true
,smart_construction_core.action_sc_settlement_order,finance.settlement_orders,action_xmlid_scene_map,true
,smart_construction_core.action_sc_tier_review_my_payment_request,payments.approval,action_xmlid_scene_map,true
,smart_construction_core.action_sc_treasury_ledger,finance.treasury_ledger,action_xmlid_scene_map,true
,smart_construction_demo.action_project_dashboard_showcase,projects.dashboard_showcase,action_xmlid_scene_map,true
,smart_construction_portal.action_sc_portal_capability_matrix,portal.capability_matrix,action_xmlid_scene_map,true
,smart_construction_portal.action_sc_portal_dashboard,portal.dashboard,action_xmlid_scene_map,true
,smart_construction_portal.action_sc_portal_lifecycle,portal.lifecycle,action_xmlid_scene_map,true
,smart_enterprise_base.action_enterprise_company,enterprise.company,action_xmlid_scene_map,true
,smart_enterprise_base.action_enterprise_department,enterprise.department,action_xmlid_scene_map,true
,smart_enterprise_base.action_enterprise_post,enterprise.post,action_xmlid_scene_map,true
,smart_enterprise_base.action_enterprise_user,enterprise.user,action_xmlid_scene_map,true
