model,view_type,domain_group,status,parser_ok,fallback_ok,v2_ok,arch_field_count,parser_field_count,v2_field_count,control_field_count,ignored_control_fields,missing_parser_fields,extra_parser_fields,arch_group_count,parser_group_count,arch_notebook_count,parser_notebook_count,arch_page_count,parser_page_count,arch_header_button_count,parser_header_button_count,arch_stat_button_count,parser_stat_button_count,arch_modifier_field_count,parser_modifier_field_count,missing_modifier_fields,arch_x2many_field_count,parser_subview_count,missing_subviews,arch_chatter,parser_chatter,arch_attachment,parser_attachment,boundary_status,gaps
sc.equipment.settlement,form,equipment,ok,true,true,true,17,17,12,0,,,,6,6,1,1,3,3,4,4,0,0,3,25,,0,1,,false,false,false,false,parser_capability_ok,
sc.equipment.settlement,tree,equipment,ok,true,true,n/a,30,31,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,31,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.equipment.usage,form,equipment,ok,true,true,true,19,19,14,0,,,,6,6,1,1,2,2,4,4,0,0,2,19,,0,0,,false,false,false,false,parser_capability_ok,
sc.equipment.usage,tree,equipment,ok,true,true,n/a,34,34,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,34,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
payment.ledger,form,finance,ok,true,true,true,11,11,9,0,,,,5,5,0,0,0,0,0,0,0,0,6,11,,0,0,,false,false,false,false,parser_capability_ok,
payment.ledger,tree,finance,ok,true,true,n/a,11,12,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,12,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
payment.request,form,finance,ok,true,true,true,35,35,32,0,,,,11,11,0,0,0,0,2,2,0,0,26,48,,0,4,,false,false,true,true,parser_capability_ok,
payment.request,tree,finance,ok,true,true,n/a,31,32,0,0,,,is_overpay_risk,0,0,0,0,0,0,0,1,0,0,0,32,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
payment.request.line,form,finance,ok,true,true,true,20,20,14,1,attachment_count,,,6,6,0,0,0,0,0,0,1,1,9,21,,0,0,,false,false,false,false,parser_capability_ok,
payment.request.line,tree,finance,ok,true,true,n/a,18,18,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,18,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.plan,form,labor,ok,true,true,true,15,15,10,0,,,,5,5,1,1,3,3,4,4,0,0,2,20,,0,1,,false,false,false,false,parser_capability_ok,
sc.labor.plan,tree,labor,ok,true,true,n/a,13,13,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,13,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.price,form,labor,ok,true,true,true,18,18,12,0,,,,5,5,1,1,2,2,3,3,0,0,3,18,,0,0,,false,false,false,false,parser_capability_ok,
sc.labor.price,tree,labor,ok,true,true,n/a,16,16,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,16,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.request,form,labor,ok,true,true,true,14,14,9,0,,,,6,6,1,1,3,3,4,4,0,0,2,19,,0,1,,false,false,false,false,parser_capability_ok,
