audit_mode,module,file,xmlid,view_name,model,inherit_id,arch_root,arch_kind,field_count,group_count,labelled_group_count,notebook_count,page_count,labelled_page_count,statusbar_count,header_button_count,button_box_count,stat_button_count,chatter_count,x2many_inline_count,data_anchor_count,source_trace_field_count,structural_score,classification,recommendation,gaps
runtime_view,runtime,odoo.registry,base.view_currency_rate_form,res.currency.rate.form,res.currency.rate,,form,full_form,5,3,0,0,0,0,0,0,0,0,0,0,5,0,7,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_default,runtime,odoo.registry,base.view_groups_form,res.groups.runtime.default.form,res.groups,,form,full_form,29,1,0,1,7,7,0,0,0,0,0,6,45,0,12,needs_semantic_annotation,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,base.view_groups_form,res.groups.form,res.groups,,form,full_form,29,1,0,1,7,7,0,0,0,0,0,6,45,0,12,needs_semantic_annotation,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_statusbar;missing_button_box;missing_chatter
runtime_default,runtime,odoo.registry,base.res_lang_form,res.lang.runtime.default.form,res.lang,,form,full_form,13,3,0,0,0,0,0,0,1,1,0,0,15,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_chatter
runtime_view,runtime,odoo.registry,base.res_lang_form,res.lang.form,res.lang,,form,full_form,13,3,0,0,0,0,0,0,1,1,0,0,15,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_chatter
runtime_view,runtime,odoo.registry,http_routing.res_lang_form_inherit_model,res.lang.form.http_routing.inherit,res.lang,base.res_lang_form,form,full_form,13,3,0,0,0,0,0,0,1,1,0,0,15,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_chatter
runtime_view,runtime,odoo.registry,account.partner_view_buttons,partner.view.buttons,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,account.view_partner_property_form,res.partner.property.form.inherit,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,account_add_gln.view_partner_form_inherit,res.partner.form.inherit.account_peppol_partner_extra_fields,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,account_edi_ubl_cii.view_partner_property_form,res.partner.property.form.inherit,res.partner,account.view_partner_property_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,base.res_partner_view_form_private,res.partner.view.form.private,res.partner,,form,full_form,17,4,1,0,0,0,0,0,0,0,0,1,18,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,base.view_partner_address_form,res.partner.form.address,res.partner,,form,full_form,11,3,0,0,0,0,0,0,0,0,0,0,11,0,5,needs_xml_structure,缺少 sheet/group，契约层难以稳定推断主信息区,missing_sheet;missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,base.view_partner_form,res.partner.form,res.partner,,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_default,runtime,odoo.registry,base.view_partner_simple_form,res.partner.runtime.default.form,res.partner,,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,base.view_partner_simple_form,res.partner.simplified.form,res.partner,,form,full_form,23,1,0,0,0,0,0,0,0,0,0,0,25,0,5,needs_xml_structure,缺少 sheet/group，契约层难以稳定推断主信息区,missing_sheet;missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,hr.res_partner_view_form,res.partner.view.form.inherit.hr,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,mail.res_partner_view_form_inherit_mail,res.partner.view.form.inherit.mail,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,partner_autocomplete.view_partner_simple_form_inherit_partner_autocomplete,res.partner.simplified.form.inherit.partner.autocomplete,res.partner,base.view_partner_simple_form,form,full_form,23,1,0,0,0,0,0,0,0,0,0,0,25,0,5,needs_xml_structure,缺少 sheet/group，契约层难以稳定推断主信息区,missing_sheet;missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,partner_autocomplete.view_res_partner_form_inherit_partner_autocomplete,res.partner.form.inherit.partner.autocomplete,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
