model,surface_lane,domain_group,status,boundary_status,has_form_structure_contract,governance_field_count,structure_field_count,layout_field_count,boundary_issue_count,boundary_issues,layout_outside_structure,group_count,semantic_group_count,unlabeled_group_count,notebook_count,page_count,projected_notebook_count,projected_semantic_group_count,native_chatter,attachments_enabled,timeline_enabled,collaboration_actions,classification,gaps
sc.expense.reimbursement.summary,business_document,sc_other,ok,boundary_ok,true,11,11,11,0,,,5,5,0,1,2,0,5,false,true,true,,contract_standardized,
sc.financing.loan,business_document,sc_other,ok,boundary_ok,true,50,50,52,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.fund.account,business_document,sc_other,ok,boundary_ok,true,29,29,29,0,,,8,8,0,1,4,0,8,false,true,true,,contract_standardized,
sc.fund.account.operation,business_document,sc_other,ok,boundary_ok,true,33,33,33,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.fund.daily.summary,business_document,sc_other,ok,boundary_ok,true,6,6,6,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
sc.general.contract,business_document,sc_other,ok,boundary_ok,true,53,53,55,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.hazard.source,business_document,sc_other,ok,boundary_ok,true,13,13,13,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.history.todo,business_document,sc_other,ok,boundary_ok,true,21,21,21,0,,,6,6,0,1,2,0,6,false,true,true,,contract_standardized,
sc.hr.payroll.document,business_document,sc_other,ok,boundary_ok,true,28,28,28,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.invoice.category.summary,business_document,sc_other,ok,boundary_ok,true,16,16,16,0,,,6,6,0,1,2,0,6,false,true,true,,contract_standardized,
sc.invoice.registration,business_document,sc_other,ok,boundary_ok,true,57,57,59,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.login.route,business_document,sc_other,ok,boundary_ok,true,6,6,6,0,,,3,3,0,1,2,0,3,false,true,true,,contract_standardized,
sc.office.admin.document,business_document,sc_other,ok,boundary_ok,true,21,21,21,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.operating.metrics.project,business_document,sc_other,ok,boundary_ok,true,22,22,22,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
sc.partner.import.review,business_document,sc_other,ok,boundary_ok,true,30,30,30,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
sc.payment.execution,business_document,sc_other,ok,boundary_ok,true,43,43,45,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.plan,business_document,sc_other,ok,boundary_ok,true,20,20,20,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
sc.plan.report,business_document,sc_other,ok,boundary_ok,true,13,13,13,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.product.policy,business_document,sc_other,ok,boundary_ok,true,12,12,12,0,,,4,4,0,1,3,0,4,false,true,true,,contract_standardized,
sc.project.document,business_document,sc_other,ok,boundary_ok,true,16,16,16,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.project.stage.requirement.item,business_document,sc_other,ok,boundary_ok,true,4,4,4,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
sc.project.structure,business_document,sc_other,ok,boundary_ok,true,9,9,9,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.receipt.income,business_document,sc_other,ok,boundary_ok,true,44,44,46,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.receipt.invoice.line,business_document,sc_other,ok,boundary_ok,true,14,14,14,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
sc.release.action,business_document,sc_other,ok,boundary_ok,true,25,25,25,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
sc.risk.item,business_document,sc_other,ok,boundary_ok,true,9,9,9,0,,,4,4,0,1,1,0,4,false,true,true,,contract_standardized,
sc.risk.library,business_document,sc_other,ok,boundary_ok,true,5,5,5,0,,,5,5,0,1,2,0,5,false,true,true,,contract_standardized,
sc.salary.summary,business_document,sc_other,ok,boundary_ok,true,10,10,10,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
sc.settlement.adjustment,business_document,sc_other,ok,boundary_ok,true,14,14,16,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
sc.settlement.order,business_document,sc_other,ok,boundary_ok,true,45,45,47,0,,,10,10,0,1,4,0,10,true,true,true,,contract_standardized,
sc.site.photo.batch,business_document,sc_other,ok,boundary_ok,true,16,16,16,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
sc.tax.deduction.registration,business_document,sc_other,ok,boundary_ok,true,53,53,53,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.treasury.ledger,business_document,sc_other,ok,boundary_ok,true,12,12,12,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
sc.treasury.reconciliation,business_document,sc_other,ok,boundary_ok,true,19,19,21,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
sc.workflow.def,business_document,sc_other,ok,boundary_ok,true,7,7,7,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.workflow.instance,business_document,sc_other,ok,boundary_ok,true,11,11,11,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
sc.workflow.node,business_document,sc_other,ok,boundary_ok,true,7,7,7,0,,,4,4,0,1,1,0,4,false,true,true,,contract_standardized,
sc.subcontract.plan,business_document,subcontract,ok,boundary_ok,true,14,14,14,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.subcontract.price,business_document,subcontract,ok,boundary_ok,true,12,12,12,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
sc.subcontract.register,business_document,subcontract,ok,boundary_ok,true,32,32,32,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.subcontract.request,business_document,subcontract,ok,boundary_ok,true,33,33,33,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.subcontract.settlement,business_document,subcontract,ok,boundary_ok,true,31,31,31,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
tender.bid,business_document,tender,ok,boundary_ok,true,42,42,42,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
tender.doc.purchase,business_document,tender,ok,boundary_ok,true,15,15,15,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
tender.guarantee,business_document,tender,ok,boundary_ok,true,11,11,11,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
tender.opening,business_document,tender,ok,boundary_ok,true,9,9,9,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
