model,surface_lane,domain_group,status,boundary_status,has_form_structure_contract,governance_field_count,structure_field_count,layout_field_count,boundary_issue_count,boundary_issues,layout_outside_structure,group_count,semantic_group_count,unlabeled_group_count,notebook_count,page_count,projected_notebook_count,projected_semantic_group_count,native_chatter,attachments_enabled,timeline_enabled,collaboration_actions,classification,gaps
construction.contract,business_document,contract,ok,boundary_ok,true,53,53,55,0,,,10,10,0,1,4,0,10,true,true,true,,contract_standardized,
construction.contract.expense,business_document,contract,ok,boundary_ok,true,41,41,43,0,,,10,10,0,1,4,0,10,true,true,true,,contract_standardized,
construction.contract.income,business_document,contract,ok,boundary_ok,true,41,41,43,0,,,10,10,0,1,4,0,10,true,true,true,,contract_standardized,
construction.work.breakdown,business_document,contract,ok,boundary_ok,true,12,12,12,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.equipment.plan,business_document,equipment,ok,boundary_ok,true,11,11,11,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
sc.equipment.price,business_document,equipment,ok,boundary_ok,true,12,12,12,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
sc.equipment.request,business_document,equipment,ok,boundary_ok,true,32,32,32,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.equipment.settlement,business_document,equipment,ok,boundary_ok,true,28,28,28,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.equipment.usage,business_document,equipment,ok,boundary_ok,true,30,30,30,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
payment.ledger,business_document,finance,ok,boundary_ok,true,9,9,9,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
payment.request,business_document,finance,ok,boundary_ok,true,48,48,50,0,,,10,10,0,1,4,0,10,true,true,true,,contract_standardized,
payment.request.line,business_document,finance,ok,boundary_ok,true,14,14,14,0,,,5,5,0,1,3,0,5,false,true,true,,contract_standardized,
sc.labor.plan,business_document,labor,ok,boundary_ok,true,10,10,10,0,,,6,6,0,1,4,0,6,true,true,true,,contract_standardized,
sc.labor.price,business_document,labor,ok,boundary_ok,true,12,12,12,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
sc.labor.request,business_document,labor,ok,boundary_ok,true,29,29,29,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
sc.labor.settlement,business_document,labor,ok,boundary_ok,true,28,28,28,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.labor.usage,business_document,labor,ok,boundary_ok,true,24,24,24,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.material.acceptance,business_document,material,ok,boundary_ok,true,21,21,21,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
sc.material.catalog,business_document,material,ok,boundary_ok,true,13,13,13,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.material.inbound,business_document,material,ok,boundary_ok,true,34,34,34,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.material.outbound,business_document,material,ok,boundary_ok,true,16,16,16,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
sc.material.price,business_document,material,ok,boundary_ok,true,16,16,16,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.material.purchase.request,business_document,material,ok,boundary_ok,true,28,28,28,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.material.rental.order,business_document,material,ok,boundary_ok,true,41,41,41,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.material.rental.plan,business_document,material,ok,boundary_ok,true,14,14,14,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.material.rental.settlement,business_document,material,ok,boundary_ok,true,22,22,22,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.material.rfq,business_document,material,ok,boundary_ok,true,17,17,17,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
sc.material.settlement,business_document,material,ok,boundary_ok,true,31,31,31,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
sc.material.stock.summary,business_document,material,ok,boundary_ok,true,23,23,23,0,,,5,5,0,1,2,0,5,false,true,true,,contract_standardized,
project.boq.line,business_document,project,ok,boundary_ok,true,32,32,32,0,,,7,7,0,1,4,0,7,false,true,true,,contract_standardized,
project.budget,business_document,project,ok,boundary_ok,true,14,14,14,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
project.budget.cost.alloc,business_document,project,ok,boundary_ok,true,6,6,6,0,,,4,4,0,1,3,0,4,false,true,true,,contract_standardized,
project.cost.code,business_document,project,ok,boundary_ok,true,6,6,6,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
project.cost.ledger,business_document,project,ok,boundary_ok,true,10,10,10,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
project.dictionary,business_document,project,ok,boundary_ok,true,12,12,12,0,,,5,5,0,1,2,0,5,false,true,true,,contract_standardized,
project.funding.baseline,business_document,project,ok,boundary_ok,true,5,5,5,0,,,5,5,0,1,3,0,5,true,true,true,,contract_standardized,
project.material.plan,business_document,project,ok,boundary_ok,true,10,10,12,0,,,6,6,0,1,4,0,6,true,true,true,,contract_standardized,
project.milestone,business_document,project,ok,boundary_ok,true,4,4,4,0,,,5,5,0,1,2,0,5,true,true,true,,contract_standardized,
project.profit.compare,business_document,project,ok,boundary_ok,true,10,10,10,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
project.progress.entry,business_document,project,ok,boundary_ok,true,8,8,8,0,,,5,5,0,1,3,0,5,true,true,true,,contract_standardized,
project.project,business_document,project,ok,boundary_ok,true,67,67,67,0,,,9,9,0,1,4,0,9,true,true,true,,contract_standardized,
project.project.stage,business_document,project,ok,boundary_ok,true,5,5,5,0,,,4,4,0,1,1,0,4,false,true,true,,contract_standardized,
project.tags,business_document,project,ok,boundary_ok,true,1,1,1,0,,,2,2,0,1,1,0,2,false,true,true,,contract_standardized,
project.task,business_document,project,ok,boundary_ok,true,8,8,8,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
project.task.type,business_document,project,ok,boundary_ok,true,6,6,6,0,,,5,5,0,1,2,0,5,false,true,true,,contract_standardized,
project.update,business_document,project,ok,boundary_ok,true,7,7,7,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.quality.issue,business_document,quality,ok,boundary_ok,true,26,26,26,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.quality.recheck,business_document,quality,ok,boundary_ok,true,12,12,12,0,,,6,6,0,1,4,0,6,true,true,true,,contract_standardized,
sc.quality.rectification,business_document,quality,ok,boundary_ok,true,12,12,12,0,,,6,6,0,1,4,0,6,true,true,true,,contract_standardized,
sc.safety.disclosure,business_document,safety,ok,boundary_ok,true,11,11,11,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
sc.safety.issue,business_document,safety,ok,boundary_ok,true,22,22,22,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.safety.patrol.task,business_document,safety,ok,boundary_ok,true,11,11,11,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.safety.plan,business_document,safety,ok,boundary_ok,true,10,10,10,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
sc.safety.recheck,business_document,safety,ok,boundary_ok,true,12,12,12,0,,,6,6,0,1,4,0,6,true,true,true,,contract_standardized,
sc.safety.rectification,business_document,safety,ok,boundary_ok,true,12,12,12,0,,,6,6,0,1,4,0,6,true,true,true,,contract_standardized,
sc.account.income.expense.summary,business_document,sc_other,ok,boundary_ok,true,16,16,16,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
sc.approval.policy,business_document,sc_other,ok,boundary_ok,true,11,11,11,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.approval.scope,business_document,sc_other,ok,boundary_ok,true,5,5,5,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
sc.ar.ap.company.summary,business_document,sc_other,ok,boundary_ok,true,24,24,24,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
sc.ar.ap.project.summary,business_document,sc_other,ok,boundary_ok,true,25,25,25,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
sc.attendance.checkin,business_document,sc_other,ok,boundary_ok,true,11,11,11,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
sc.business.entity,business_document,sc_other,ok,boundary_ok,true,7,7,7,0,,,6,6,0,1,3,0,6,false,true,true,,contract_standardized,
sc.check.standard,business_document,sc_other,ok,boundary_ok,true,13,13,13,0,,,6,6,0,1,3,0,6,true,true,true,,contract_standardized,
sc.check.standard.item,business_document,sc_other,ok,boundary_ok,true,11,11,11,0,,,5,5,0,1,2,0,5,false,true,true,,contract_standardized,
sc.company.operation.summary,business_document,sc_other,ok,boundary_ok,true,27,27,27,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
sc.comprehensive.cost.summary,business_document,sc_other,ok,boundary_ok,true,21,21,21,0,,,4,4,0,1,2,0,4,false,true,true,,contract_standardized,
sc.construction.diary,business_document,sc_other,ok,boundary_ok,true,43,43,43,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
sc.contract.event,business_document,sc_other,ok,boundary_ok,true,22,22,22,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
sc.dashboard.cockpit.fact,business_document,sc_other,ok,boundary_ok,true,19,19,19,0,,,7,7,0,1,3,0,7,true,true,true,,contract_standardized,
sc.dictionary,business_document,sc_other,ok,boundary_ok,true,3,3,3,0,,,3,3,0,1,1,0,3,false,true,true,,contract_standardized,
sc.document.admin.document,business_document,sc_other,ok,boundary_ok,true,24,24,24,0,,,7,7,0,1,4,0,7,true,true,true,,contract_standardized,
sc.edition.release.snapshot,business_document,sc_other,ok,boundary_ok,true,21,21,21,0,,,5,5,0,1,3,0,5,false,true,true,,contract_standardized,
sc.expense.claim,business_document,sc_other,ok,boundary_ok,true,34,34,36,0,,,8,8,0,1,4,0,8,true,true,true,,contract_standardized,
